p,X,group,profile,Y,stages,relative_error,valid
8,0.5,grid,ideal,1.282892256975174,3,6.066323791464821e-18,True
8,0.5,grid,untrimmed,1.282892256975174,3,1.6261829665355737e-05,True
8,0.5,grid,trim_target,1.282892256975174,3,5.757195810775186e-07,True
8,0.9999999999999999,grid,ideal,1.6241700949613003,3,9.107298248878236e-18,True
8,0.9999999999999999,grid,untrimmed,1.6241700949613003,3,3.00826197628578e-05,True
8,0.9999999999999999,grid,trim_target,1.6241700949613003,3,8.933438565174656e-07,True
8,1,grid,ideal,1,3,0.0,True
8,1,grid,untrimmed,1,3,1.074244634460827e-05,True
8,1,grid,trim_target,1,3,4.2968791391295734e-07,True
8,1.0000000000000002,grid,ideal,1.0000000000000002,3,3.466673899897024e-33,True
8,1.0000000000000002,grid,untrimmed,1.0000000000000002,3,1.0741928957198757e-05,True
8,1.0000000000000002,grid,trim_target,1.0000000000000002,3,4.2968708609784734e-07,True
8,2,grid,ideal,2,3,1.2366400757373467e-17,True
8,2,grid,untrimmed,2,3,5.125761609026348e-05,True
8,2,grid,trim_target,2,3,1.359178660563911e-06,True
8,3,grid,ideal,1.03082674741745,3,4.686695128805504e-19,True
8,3,grid,untrimmed,1.03082674741745,3,1.0992233735556593e-05,True
8,3,grid,trim_target,1.03082674741745,3,4.3868637661861426e-07,True
8,10,grid,ideal,1.001129150390625,3,5.539736525319802e-18,True
8,10,grid,untrimmed,1.001129150390625,3,1.0749854150232536e-05,True
8,10,grid,trim_target,1.001129150390625,3,4.2998258892871234e-07,True
8,500000,grid,ideal,1.4490288453572475,3,5.349789934034386e-18,True
8,500000,grid,untrimmed,1.4490288453572475,3,2.2204299267767048e-05,True
8,500000,grid,trim_target,1.4490288453572475,3,7.149089852311687e-07,True
8,1e+100,grid,ideal,1.8308447935065932,3,7.230850949728759e-18,True
8,1e+100,grid,untrimmed,1.8308447935065932,3,4.1120083295639184e-05,True
8,1e+100,grid,trim_target,1.8308447935065932,3,1.1374015685012877e-06,True
8,1e+300,grid,ideal,1.19241085612989,3,1.7252508893318863e-18,True
8,1e+300,grid,untrimmed,1.19241085612989,3,1.3775232338823549e-05,True
