time,state,q,residual,candidate,denominator,target,stagepeak,delta,first,corpeak,innerden,stored,stored_read,candidate_current_A,transfer_current_A
7.932485913395430116e-05,5.899162832910372987e-08,-1.222667703514017293e-06,1.215997672876583779e+00,-1.888064532576270993e-01,2.287996892878344735e+00,-1.888050693658209767e-01,1.525205622459588097e-06,-1.888080213233813975e-01,8.741319679786014873e-01,8.743076960326523484e-01,1.143998446438092342e+00,-4.239402453488970706e-10,3.045536073800727804e-05,1.383891803918039046e-07,-5.720784191142884615e-13
8.080527637477580381e-05,6.015794834254083696e-08,-7.762350490959108719e-07,1.215998385857297803e+00,-1.888045090757624334e-01,2.287997843519282259e+00,-1.888034642780316852e-01,9.970508441661219434e-07,-1.888073747223560361e-01,8.741331092278181725e-01,8.743083531435291711e-01,1.143998921758561327e+00,-4.324097574086382778e-10,3.045535226845640157e-05,1.044797729828460379e-07,-5.720721742791814133e-13
8.398000121216618315e-05,6.265909802664267053e-08,-1.230208048552538506e-06,1.215998756673517533e+00,-1.888034381177307042e-01,2.287998337940901017e+00,-1.888033721522416608e-01,1.447929621804229114e-06,-1.888081269830394204e-01,8.741327042963920047e-01,8.743072164721937822e-01,1.143999168969370706e+00,-4.505722889494781325e-10,3.045533410590947873e-05,6.596548901748837240e-09,-5.720655684386323059e-13
8.798000121216628037e-05,6.581042585679273698e-08,-2.135680078316516402e-06,1.215997842823514086e+00,-1.888027568037305981e-01,2.287997119474248109e+00,-1.888025003897300658e-01,2.365162961775387968e-06,-1.888079856187615535e-01,8.741317511221141645e-01,8.743063993991372351e-01,1.143998559736044252e+00,-4.734561341933731560e-10,3.045531122210822696e-05,2.564140005170699018e-08,-5.720635823157774224e-13
9.112499999999999236e-05,6.828815640745812443e-08,-2.859253867749614770e-06,1.215996974556723176e+00,-1.888023361224865915e-01,2.287995961785210586e+00,-1.888026683744652712e-01,3.093229751792049407e-06,-1.888073619310633167e-01,8.741313644322582510e-01,8.743062694079347663e-01,1.143997980891525712e+00,-4.914484766407859748e-10,3.045529322979573613e-05,-3.322519786620933774e-08,-5.720615584152531722e-13
9.512500000000008958e-05,7.143948423555651826e-08,-3.798852603911708862e-06,1.215995841433714864e+00,-1.888038401572094127e-01,2.287994450954555337e+00,-1.888042078862360029e-01,4.034969240826135508e-06,-1.888047824214253712e-01,8.741325004500192231e-01,8.743076873470942978e-01,1.143997225476198087e+00,-5.143323127204975387e-10,3.045527034605879449e-05,-3.677290265523827413e-08,-5.720650872392146476e-13
9.912500000000018681e-05,7.459081206250626925e-08,-4.740368792293587385e-06,1.215994697370768485e+00,-1.888053109516530936e-01,2.287992925537316147e+00,-1.888056791328290573e-01,4.976708729861368068e-06,-1.888021327291593832e-01,8.741339590382048996e-01,8.743091514447506318e-01,1.143996462767578270e+00,-5.372163287425621367e-10,3.045524746215114861e-05,-3.681811759092521025e-08,-5.720695395831984739e-13
1.005899614190386009e-04,7.574495548352481710e-08,-4.924844955089195501e-06,1.215994292965758783e+00,-1.888057487399901757e-01,2.287992386330644834e+00,-1.888058494296526446e-01,4.898290499955029350e-06,-1.888014983669825120e-01,8.741343834071678698e-01,8.743091863802534558e-01,1.143996193164242392e+00,-5.455974228351142373e-10,3.045523908109619416e-05,-1.006896624683284855e-08,-5.720711148950736361e-13
1.026328676712908437e-04,7.735442231300984337e-08,-3.670387013864885699e-06,1.215994557721280733e+00,-1.888062491114093078e-01,2.287992739338001957e+00,-1.888067467125433552e-01,4.091631316857632315e-06,-1.888039109100247970e-01,8.741331159034679832e-01,8.743068566804114150e-01,1.143996369667921176e+00,-5.572849812078633147e-10,3.045522739358471782e-05,-4.976011339581483334e-08,-5.720725429079193919e-13
1.063742335901097472e-04,8.030198994372181094e-08,-4.680459995559848073e-07,1.215997698115887982e+00,-1.888096925340783105e-01,2.287996926530749597e+00,-1.888109121633420318e-01,1.072855878036207445e-06,-1.888117563333298610e-01,8.741275225624558498e-01,8.743006065928025095e-01,1.143998463264294774e+00,-5.786897099500089725e-10,3.045520598899696999e-05,-1.219629262206191423e-07,-5.720806701890481960e-13
1.100007024630576428e-04,8.315903800906362568e-08,2.709493175127134538e-06,1.216001506091618056e+00,-1.888144654692560376e-01,2.288002003831647535e+00,-1.888158305615350030e-01,3.585376281276880933e-06,-1.888203145335673738e-01,8.741209571361640007e-01,8.742939374130117569e-01,1.144001001914743743e+00,-5.994375729361501496e-10,3.045518524132858902e-05,-1.365092276854920889e-07,-5.720943421478497266e-13
